stage,seed,k,true_topics,formulation,implementation_class,nll,true_beta_cosine,true_theta_cosine,top_motif_accuracy,planted_motifs_recovered_cosine_ge_0_50,median_effective_topics,median_exact_support,active_topics_gt_0_005,unique_top1_topics,mean_nearest_beta_cosine,maximum_beta_cosine,catastrophic_duplicate
multi_seed,11,36,18,balanced ETM plus entmax15,RoutingInformedETM,6.61825454239588,0.25600099563598633,0.4126360996077132,0.375,2,1.9362463774246264,3.0,6,5,0.9237328767776489,0.9950918555259705,False
multi_seed,11,36,18,balanced ETM plus top-2-context routing and entmax15,ContextualSparseETM,6.273801661111527,0.49752309918403625,0.7692402950116349,0.7625,10,1.9693231281873613,4.0,14,14,0.7412050366401672,0.9936928749084473,False
multi_seed,11,36,18,balanced ETM plus top-2-context routing and softmax,RoutingInformedETM,6.264496812738875,0.44659069180488586,0.7010028643093305,0.6875,8,3.3265398126134524,36.0,14,12,0.7730066776275635,0.9927934408187866,False
multi_seed,11,36,18,balanced ETM softmax raw,RoutingInformedETM,6.4711202732468145,0.30530980229377747,0.4854539193791575,0.46875,2,3.042452149052332,36.0,8,7,0.8954946994781494,0.9935685396194458,False
multi_seed,23,36,18,balanced ETM plus entmax15,RoutingInformedETM,6.489796722991791,0.2815817594528198,0.4772724062154614,0.4125,4,1.9650032527522645,3.0,6,6,0.9164206385612488,0.9954333305358887,False
multi_seed,23,36,18,balanced ETM plus top-2-context routing and entmax15,ContextualSparseETM,6.290266733442804,0.42109718918800354,0.7250044859362819,0.7125,7,2.0009643856463133,4.0,12,11,0.7823255658149719,0.9946570992469788,False
multi_seed,23,36,18,balanced ETM plus top-2-context routing and softmax,RoutingInformedETM,6.186436254375598,0.4594338834285736,0.7143878929502725,0.7,10,3.064896952297816,36.0,13,11,0.7712823152542114,0.994861364364624,False
multi_seed,23,36,18,balanced ETM softmax raw,RoutingInformedETM,6.419768750542414,0.3153200149536133,0.5080458873941149,0.49375,5,3.881636710219993,36.0,8,7,0.8691495060920715,0.9943922162055969,False
multi_seed,37,36,18,balanced ETM plus entmax15,RoutingInformedETM,6.686608692123001,0.2379148304462433,0.31153627692825975,0.2,2,1.8637951410005833,2.0,4,4,0.9360401630401611,0.9953965544700623,False
multi_seed,37,36,18,balanced ETM plus top-2-context routing and entmax15,ContextualSparseETM,6.296809858930523,0.47514569759368896,0.7662907772619666,0.74375,7,2.029006194071459,4.0,17,14,0.7137176394462585,0.9933749437332153,False
multi_seed,37,36,18,balanced ETM plus top-2-context routing and softmax,RoutingInformedETM,6.280540442269456,0.4207861125469208,0.7042671141406753,0.65625,8,3.26863676102597,36.0,13,12,0.7852746248245239,0.9933524131774902,False
multi_seed,37,36,18,balanced ETM softmax raw,RoutingInformedETM,6.506560649000675,0.2975116968154907,0.48394578047174,0.45625,4,3.5699846161947395,36.0,9,6,0.8999700546264648,0.9947132468223572,False
